,Job_Title,Company,Location,Job URL
0,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
1,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
2,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
3,"data scientist, Supply Chain - Remote",Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
4,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
5,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
6,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
7,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
8,"data scientist, Supply Chain - Remote",Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
9,data scientist (multiple openings) - Remote,Starbucks,"Seattle, WA",https://www.linkedin.com/signup/cold-join?source=jobs_registration&trk=public_jobs_conversion-modal-join&session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fsearch%2F%3Fkeywords%3Ddata%2520scientist%26position%3D0%26User-Agent%3DMozilla%252F5.0%2B%2528Windows%2BNT%2B10.0%253B%2BWOW64%2529%2BAppleWebKit%252F537.36%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BChrome%252F100.0.4896.88%2BSafari%252F537.36
